epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
39,1765.74,0.8961,5.20229,0.17549,0.50169,1.04048,0.9164,0.77826,0.87147,0.51075,0.28626,0.15241,0.12247,0.02932,1.47619,6.82933,0.10158,0.63429,1.38652,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1810.23,0.89731,5.19112,0.17547,0.50116,1.04097,0.91341,0.77101,0.87173,0.51252,0.31527,0.14488,0.12906,0.03029,1.51281,7.10138,0.10319,0.68381,1.41317,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,1854.85,0.89243,5.15129,0.17617,0.49505,1.03718,0.91692,0.78269,0.87334,0.5208,0.28605,0.15516,0.13418,0.03271,1.46016,6.81709,0.10426,0.63522,1.36953,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,1899.49,0.89263,5.15275,0.17415,0.4997,1.03558,0.92123,0.77868,0.86149,0.49159,0.31586,0.14749,0.12933,0.03171,1.53103,7.07423,0.10247,0.64489,1.42167,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,1944.15,0.881,5.11715,0.17443,0.49572,1.03216,0.90909,0.76273,0.86149,0.50786,0.30716,0.15111,0.13371,0.03244,1.4891,6.94521,0.11109,0.66381,1.38482,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1988.61,0.87858,5.09205,0.1725,0.49325,1.03194,0.91257,0.77351,0.86254,0.5049,0.26973,0.14677,0.11572,0.02867,1.47595,6.85666,0.10209,0.63738,1.39317,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2033.02,0.87621,5.07675,0.17069,0.4922,1.0304,0.9195,0.78246,0.87227,0.50889,0.29702,0.15473,0.12304,0.02984,1.45385,6.87304,0.09857,0.63283,1.36019,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2077.75,0.87578,5.07088,0.17131,0.49142,1.03158,0.92384,0.78694,0.87715,0.50522,0.29663,0.14937,0.12009,0.02973,1.49324,6.95605,0.09848,0.6382,1.40094,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2122.27,0.87057,5.02665,0.16915,0.48952,1.0294,0.9233,0.77204,0.86799,0.50109,0.28752,0.14648,0.11717,0.02997,1.49859,7.03721,0.09561,0.63363,1.40324,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2166.79,0.87489,5.04906,0.16999,0.48712,1.02963,0.9145,0.76639,0.86397,0.50671,0.28597,0.15646,0.13245,0.03267,1.49017,6.85277,0.09569,0.63664,1.3936,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
