epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,229.703,0.479,4.12772,0.23318,0.36199,1.01631,0.98574,1,0.99495,0.94871,0.93265,0.94286,0.92485,0.2503,0.36248,3.19541,0.10368,0.25798,0.88861,0.0012872,0.0012872,0.0012872
38,235.819,0.47862,4.07667,0.23933,0.35686,1.02059,0.98988,1,0.99495,0.94885,0.94273,0.95238,0.94758,0.27969,0.36054,3.15524,0.09185,0.2627,0.8834,0.0012674,0.0012674,0.0012674
39,242.065,0.48261,4.09933,0.23353,0.37038,1.01816,0.98971,1,0.99495,0.93406,0.92331,0.91734,0.89773,0.23428,0.37904,3.21403,0.07686,0.2669,0.89213,0.0012476,0.0012476,0.0012476
40,248.29,0.48344,4.11357,0.22919,0.36302,1.00826,0.99032,1,0.995,0.94549,0.92425,0.93333,0.92979,0.26484,0.36423,3.17471,0.08324,0.23982,0.88793,0.0012278,0.0012278,0.0012278
41,254.436,0.47921,4.09128,0.22705,0.36226,1.01681,0.99033,1,0.99491,0.95548,0.93367,0.94286,0.92302,0.28286,0.34579,3.05111,0.08035,0.23201,0.87035,0.001208,0.001208,0.001208
42,260.532,0.47547,4.0676,0.22351,0.35734,1.01294,0.99522,1,0.99495,0.95611,0.93574,0.9381,0.9223,0.28941,0.34303,3.06003,0.09112,0.24296,0.86642,0.0011882,0.0011882,0.0011882
43,266.678,0.45766,3.98348,0.22767,0.35138,1.00638,0.99525,0.99841,0.99495,0.94702,0.93355,0.93654,0.89613,0.26919,0.32971,3.12299,0.08516,0.23706,0.85961,0.0011684,0.0011684,0.0011684
44,272.746,0.46167,3.91318,0.22002,0.34547,1.01377,0.99056,0.99967,0.995,0.95384,0.94201,0.92824,0.92852,0.2532,0.35602,3.08718,0.07402,0.24149,0.8828,0.0011486,0.0011486,0.0011486
45,278.742,0.46708,3.95073,0.22417,0.35104,1.01721,0.99518,0.99524,0.99495,0.95879,0.92832,0.92503,0.91476,0.28824,0.33361,3.01632,0.08121,0.23354,0.8678,0.0011288,0.0011288,0.0011288
46,285.858,0.45146,3.86056,0.21702,0.34099,1.00511,0.99014,1,0.995,0.95055,0.90523,0.91429,0.91507,0.27037,0.34567,3.12821,0.07666,0.24528,0.87342,0.001109,0.001109,0.001109
47,291.94,0.43293,3.79793,0.22076,0.33157,0.98904,0.99046,1,0.995,0.96568,0.93383,0.94286,0.91445,0.28237,0.31432,3.00767,0.07931,0.22259,0.84554,0.0010892,0.0010892,0.0010892
48,298.114,0.44047,3.8323,0.21295,0.32648,1.00145,0.99011,1,0.99495,0.95858,0.94293,0.95238,0.94575,0.29512,0.32718,2.98318,0.07147,0.23433,0.85548,0.0010694,0.0010694,0.0010694
49,304.724,0.43685,3.83917,0.21334,0.33139,0.99373,0.98986,0.99524,0.99495,0.96062,0.92828,0.93333,0.91288,0.29086,0.31965,2.96021,0.08219,0.22833,0.8561,0.0010496,0.0010496,0.0010496
50,310.794,0.44159,3.82697,0.21279,0.331,0.99995,0.99429,1,0.995,0.95618,0.91378,0.91905,0.87513,0.27422,0.32892,2.9864,0.08629,0.22692,0.86163,0.0010298,0.0010298,0.0010298
51,317.012,0.4295,3.77204,0.20667,0.32111,0.98641,0.98961,1,0.99495,0.95856,0.92358,0.93333,0.92169,0.29273,0.326,2.95897,0.0787,0.22458,0.84493,0.00101,0.00101,0.00101
52,323.135,0.42635,3.73813,0.21338,0.32237,0.98912,0.99056,0.99959,0.995,0.95287,0.94809,0.95675,0.94751,0.28938,0.33611,2.963,0.08699,0.23519,0.8593,0.0009902,0.0009902,0.0009902
53,329.267,0.43266,3.81975,0.21386,0.33276,0.98906,0.99056,0.99947,0.99495,0.95935,0.94747,0.95238,0.9443,0.30002,0.34828,2.95671,0.08415,0.25045,0.88116,0.0009704,0.0009704,0.0009704
