epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,15650.5,0.55704,1.75488,0.14294,0.22844,0.00581,1.23,0.943,0.83787,0.90941,0.68572,0.73179,0.55421,0.59602,0.18662,0.89019,3.98338,0.10759,0.48699,0.01268,0,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15955.4,0.55284,1.73986,0.14138,0.22717,0.0058,1.20135,0.94536,0.8486,0.91538,0.67072,0.7206,0.5823,0.60061,0.19076,0.91842,3.95026,0.10313,0.4917,0.01312,0,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,16260.4,0.55114,1.70172,0.14098,0.22354,0.00575,1.12689,0.94464,0.84587,0.89197,0.64723,0.71005,0.57473,0.55818,0.17252,0.90923,3.95958,0.10655,0.48829,0.01302,0,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,16568.3,0.54853,1.69043,0.14033,0.22555,0.00571,1.05725,0.94831,0.84643,0.91873,0.68962,0.71169,0.5711,0.59839,0.19214,0.88963,3.96228,0.10329,0.48462,0.01271,0,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16896,0.54432,1.67659,0.13913,0.22138,0.00567,1.072,0.95418,0.83951,0.90394,0.66902,0.72589,0.55924,0.56615,0.17284,0.88301,3.96764,0.10031,0.4878,0.01255,0,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,17231.5,0.54387,1.64273,0.13887,0.22169,0.00565,0.99652,0.95155,0.82579,0.88298,0.65272,0.71251,0.56557,0.54756,0.16482,0.90141,3.97405,0.10453,0.49802,0.01289,0,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,17536.6,0.54471,1.64281,0.1386,0.22339,0.00565,1.00358,0.93237,0.84269,0.90682,0.67954,0.70442,0.57022,0.58341,0.18356,0.88989,3.97486,0.09997,0.4883,0.01269,0,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,17841.8,0.53872,1.62662,0.13732,0.22229,0.00563,0.99062,0.93542,0.83484,0.90041,0.67479,0.71173,0.55727,0.57603,0.18101,0.92056,4.01733,0.10369,0.50495,0.01317,0,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,18146.9,0.53015,1.61846,0.13575,0.21472,0.00548,0.89108,0.94674,0.83044,0.90336,0.67813,0.7169,0.56513,0.584,0.18769,0.90475,3.98609,0.10402,0.50485,0.01287,0,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,18451.8,0.52877,1.58805,0.13489,0.21584,0.0055,0.8834,0.94034,0.83714,0.90781,0.68555,0.71813,0.57289,0.59844,0.19509,0.90486,3.97184,0.10119,0.49406,0.01288,0,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
